task_id,condition_id,plate_id,yield,n,experiment_id
hit_07,c_e2b4f2be96,screen_SCRN_67,51.25,4,hit_000331
hit_07,c_e564d7612a,screen_SCRN_67,42.0,4,hit_000332
hit_07,c_e7bd21231d,screen_SCRN_67,44.25,4,hit_000333
hit_07,c_e8d46c9e9a,screen_SCRN_67,29.0,4,hit_000334
hit_07,c_ef091d2ff2,screen_SCRN_67,53.5,4,hit_000335
hit_07,c_efdcec6f77,screen_SCRN_67,45.75,4,hit_000336
hit_08,c_04d73ea970,screen_SCRN_81,0.0,4,hit_000337
hit_08,c_14f5c30068,screen_SCRN_81,8.75,4,hit_000338
hit_08,c_1d9e641278,screen_SCRN_81,0.0,4,hit_000339
hit_08,c_1f622dc39d,screen_SCRN_81,0.0,4,hit_000340
hit_08,c_23c32c1777,screen_SCRN_81,28.0,4,hit_000341
hit_08,c_24a01a5b7d,screen_SCRN_81,0.0,4,hit_000342
hit_08,c_2db771aad0,screen_SCRN_81,13.25,4,hit_000343
hit_08,c_30116215bd,screen_SCRN_81,0.0,4,hit_000344
hit_08,c_3196604cd9,screen_SCRN_81,5.5,4,hit_000345
hit_08,c_32f061b282,screen_SCRN_81,0.0,4,hit_000346
hit_08,c_3c160df052,screen_SCRN_81,14.0,4,hit_000347
hit_08,c_3ee2d5105a,screen_SCRN_81,0.0,4,hit_000348
hit_08,c_3f90fc71ff,screen_SCRN_81,0.0,4,hit_000349
hit_08,c_40534c4f12,screen_SCRN_81,37.75,4,hit_000350
hit_08,c_4076342b87,screen_SCRN_81,0.0,4,hit_000351
hit_08,c_4648614000,screen_SCRN_81,9.0,4,hit_000352
hit_08,c_493aa05fab,screen_SCRN_81,8.75,4,hit_000353
hit_08,c_4957928872,screen_SCRN_81,8.5,4,hit_000354
hit_08,c_4fdc95dfd7,screen_SCRN_81,0.0,4,hit_000355
hit_08,c_577ff4ada9,screen_SCRN_81,13.25,4,hit_000356
hit_08,c_599a93c125,screen_SCRN_81,18.25,4,hit_000357
hit_08,c_5e8279fbea,screen_SCRN_81,2.75,4,hit_000358
hit_08,c_7dc2ed3bef,screen_SCRN_81,0.0,4,hit_000359
hit_08,c_86f3e84f01,screen_SCRN_81,12.0,4,hit_000360
hit_08,c_87611e347b,screen_SCRN_81,20.5,4,hit_000361
hit_08,c_87d08dc489,screen_SCRN_81,0.0,4,hit_000362
hit_08,c_96da66f8fe,screen_SCRN_81,14.0,4,hit_000363
hit_08,c_99aeac08ec,screen_SCRN_81,0.0,4,hit_000364
hit_08,c_9e3adb389c,screen_SCRN_81,44.5,4,hit_000365
hit_08,c_a86e283b14,screen_SCRN_81,5.5,4,hit_000366
hit_08,c_a88c92ca46,screen_SCRN_81,37.25,4,hit_000367
hit_08,c_aabcb49fef,screen_SCRN_81,9.5,4,hit_000368
hit_08,c_ad8305297d,screen_SCRN_81,0.0,4,hit_000369
hit_08,c_adf3bba061,screen_SCRN_81,6.25,4,hit_000370
hit_08,c_b4e663cbcf,screen_SCRN_81,0.0,4,hit_000371
hit_08,c_b9c1c9f68d,screen_SCRN_81,0.0,4,hit_000372
hit_08,c_ba1fa7db09,screen_SCRN_81,0.0,4,hit_000373
hit_08,c_ba67a9e214,screen_SCRN_81,22.5,4,hit_000374
hit_08,c_c3b27856cb,screen_SCRN_81,7.0,4,hit_000375
